date,nav,fund_code,fund_name,category
2013-01-02,18.972,118825,Mirae Asset Large Cap Fund,Large Cap
2013-01-03,19.011,118825,Mirae Asset Large Cap Fund,Large Cap
2013-01-04,19.008,118825,Mirae Asset Large Cap Fund,Large Cap
2013-01-07,18.95,118825,Mirae Asset Large Cap Fund,Large Cap
2013-01-08,18.954,118825,Mirae Asset Large Cap Fund,Large Cap
2013-01-09,18.94,118825,Mirae Asset Large Cap Fund,Large Cap
2013-01-10,18.957,118825,Mirae Asset Large Cap Fund,Large Cap
2013-01-11,18.948,118825,Mirae Asset Large Cap Fund,Large Cap
2013-01-14,19.177,118825,Mirae Asset Large Cap Fund,Large Cap
2013-01-15,19.272,118825,Mirae Asset Large Cap Fund,Large Cap
2013-01-16,19.08,118825,Mirae Asset Large Cap Fund,Large Cap
2013-01-17,19.189,118825,Mirae Asset Large Cap Fund,Large Cap
2013-01-18,19.2,118825,Mirae Asset Large Cap Fund,Large Cap
2013-01-21,19.236,118825,Mirae Asset Large Cap Fund,Large Cap
2013-01-22,19.089,118825,Mirae Asset Large Cap Fund,Large Cap
2013-01-23,19.088,118825,Mirae Asset Large Cap Fund,Large Cap
2013-01-24,18.868,118825,Mirae Asset Large Cap Fund,Large Cap
2013-01-25,19.098,118825,Mirae Asset Large Cap Fund,Large Cap
2013-01-28,19.074,118825,Mirae Asset Large Cap Fund,Large Cap
2013-01-29,19.001,118825,Mirae Asset Large Cap Fund,Large Cap
2013-01-30,18.982,118825,Mirae Asset Large Cap Fund,Large Cap
2013-01-31,18.913,118825,Mirae Asset Large Cap Fund,Large Cap
2013-02-01,18.879,118825,Mirae Asset Large Cap Fund,Large Cap
2013-02-04,18.795,118825,Mirae Asset Large Cap Fund,Large Cap
2013-02-05,18.674,118825,Mirae Asset Large Cap Fund,Large Cap
2013-02-06,18.678,118825,Mirae Asset Large Cap Fund,Large Cap
2013-02-07,18.594,118825,Mirae Asset Large Cap Fund,Large Cap
2013-02-08,18.487,118825,Mirae Asset Large Cap Fund,Large Cap
2013-02-11,18.455,118825,Mirae Asset Large Cap Fund,Large Cap
2013-02-12,18.52,118825,Mirae Asset Large Cap Fund,Large Cap
2013-02-13,18.529,118825,Mirae Asset Large Cap Fund,Large Cap
2013-02-14,18.365,118825,Mirae Asset Large Cap Fund,Large Cap
2013-02-15,18.336,118825,Mirae Asset Large Cap Fund,Large Cap
2013-02-18,18.358,118825,Mirae Asset Large Cap Fund,Large Cap
2013-02-19,18.483,118825,Mirae Asset Large Cap Fund,Large Cap
2013-02-20,18.453,118825,Mirae Asset Large Cap Fund,Large Cap
2013-02-21,18.175,118825,Mirae Asset Large Cap Fund,Large Cap
2013-02-22,18.172,118825,Mirae Asset Large Cap Fund,Large Cap
2013-02-25,18.144,118825,Mirae Asset Large Cap Fund,Large Cap
2013-02-26,17.873,118825,Mirae Asset Large Cap Fund,Large Cap
2013-02-27,17.999,118825,Mirae Asset Large Cap Fund,Large Cap
2013-02-28,17.723,118825,Mirae Asset Large Cap Fund,Large Cap
2013-03-01,17.863,118825,Mirae Asset Large Cap Fund,Large Cap
2013-03-04,17.791,118825,Mirae Asset Large Cap Fund,Large Cap
2013-03-05,18.002,118825,Mirae Asset Large Cap Fund,Large Cap
2013-03-06,18.097,118825,Mirae Asset Large Cap Fund,Large Cap
2013-03-07,18.211,118825,Mirae Asset Large Cap Fund,Large Cap
2013-03-08,18.435,118825,Mirae Asset Large Cap Fund,Large Cap
2013-03-11,18.424,118825,Mirae Asset Large Cap Fund,Large Cap
2013-03-12,18.33,118825,Mirae Asset Large Cap Fund,Large Cap
2013-03-13,18.091,118825,Mirae Asset Large Cap Fund,Large Cap
2013-03-14,18.245,118825,Mirae Asset Large Cap Fund,Large Cap
2013-03-15,18.101,118825,Mirae Asset Large Cap Fund,Large Cap
2013-03-18,18.022,118825,Mirae Asset Large Cap Fund,Large Cap
2013-03-19,17.827,118825,Mirae Asset Large Cap Fund,Large Cap
2013-03-20,17.55,118825,Mirae Asset Large Cap Fund,Large Cap
2013-03-21,17.477,118825,Mirae Asset Large Cap Fund,Large Cap
2013-03-22,17.453,118825,Mirae Asset Large Cap Fund,Large Cap
2013-03-25,17.394,118825,Mirae Asset Large Cap Fund,Large Cap
2013-03-26,17.434,118825,Mirae Asset Large Cap Fund,Large Cap
2013-03-28,17.563,118825,Mirae Asset Large Cap Fund,Large Cap
2013-04-01,17.678,118825,Mirae Asset Large Cap Fund,Large Cap
2013-04-02,17.842,118825,Mirae Asset Large Cap Fund,Large Cap
2013-04-03,17.613,118825,Mirae Asset Large Cap Fund,Large Cap
2013-04-04,17.335,118825,Mirae Asset Large Cap Fund,Large Cap
2013-04-05,17.275,118825,Mirae Asset Large Cap Fund,Large Cap
2013-04-08,17.28,118825,Mirae Asset Large Cap Fund,Large Cap
2013-04-09,17.106,118825,Mirae Asset Large Cap Fund,Large Cap
2013-04-10,17.278,118825,Mirae Asset Large Cap Fund,Large Cap
2013-04-11,17.391,118825,Mirae Asset Large Cap Fund,Large Cap
2013-04-12,17.195,118825,Mirae Asset Large Cap Fund,Large Cap
2013-04-15,17.268,118825,Mirae Asset Large Cap Fund,Large Cap
2013-04-16,17.545,118825,Mirae Asset Large Cap Fund,Large Cap
2013-04-17,17.605,118825,Mirae Asset Large Cap Fund,Large Cap
2013-04-18,17.845,118825,Mirae Asset Large Cap Fund,Large Cap
2013-04-22,18.061,118825,Mirae Asset Large Cap Fund,Large Cap
2013-04-23,18.033,118825,Mirae Asset Large Cap Fund,Large Cap
2013-04-25,18.213,118825,Mirae Asset Large Cap Fund,Large Cap
2013-04-26,18.148,118825,Mirae Asset Large Cap Fund,Large Cap
2013-04-29,18.221,118825,Mirae Asset Large Cap Fund,Large Cap
2013-04-30,18.272,118825,Mirae Asset Large Cap Fund,Large Cap
2013-05-02,18.426,118825,Mirae Asset Large Cap Fund,Large Cap
2013-05-03,18.285,118825,Mirae Asset Large Cap Fund,Large Cap
2013-05-06,18.41,118825,Mirae Asset Large Cap Fund,Large Cap
2013-05-07,18.615,118825,Mirae Asset Large Cap Fund,Large Cap
2013-05-08,18.735,118825,Mirae Asset Large Cap Fund,Large Cap
2013-05-09,18.701,118825,Mirae Asset Large Cap Fund,Large Cap
2013-05-10,18.851,118825,Mirae Asset Large Cap Fund,Large Cap
2013-05-13,18.576,118825,Mirae Asset Large Cap Fund,Large Cap
2013-05-14,18.62,118825,Mirae Asset Large Cap Fund,Large Cap
2013-05-15,18.982,118825,Mirae Asset Large Cap Fund,Large Cap
2013-05-16,19.028,118825,Mirae Asset Large Cap Fund,Large Cap
2013-05-17,19.018,118825,Mirae Asset Large Cap Fund,Large Cap
2013-05-20,18.886,118825,Mirae Asset Large Cap Fund,Large Cap
2013-05-21,18.764,118825,Mirae Asset Large Cap Fund,Large Cap
2013-05-22,18.693,118825,Mirae Asset Large Cap Fund,Large Cap
2013-05-23,18.295,118825,Mirae Asset Large Cap Fund,Large Cap
2013-05-24,18.42,118825,Mirae Asset Large Cap Fund,Large Cap
2013-05-27,18.62,118825,Mirae Asset Large Cap Fund,Large Cap
2013-05-28,18.695,118825,Mirae Asset Large Cap Fund,Large Cap
2013-05-29,18.69,118825,Mirae Asset Large Cap Fund,Large Cap
2013-05-30,18.711,118825,Mirae Asset Large Cap Fund,Large Cap
