Fund Name,Category,CAGR 5Y (%),CAGR 1Y (%),Volatility (%),Sharpe Ratio,Max Drawdown (%),SIP Value (₹),SIP Profit (₹),SIP Returns (%),score,Rank
Quant Small Cap Fund,Small Cap,35.54,0.92,20.8,1.29,-38.57,838659.56,533659.56,174.97,1.0,1
Nippon India Small Cap Fund,Small Cap,27.26,-1.35,18.79,1.06,-40.3,749917.2,444917.2,145.87,0.7541084239015976,2
Edelweiss Mid Cap Fund,Mid Cap,25.47,5.19,18.83,0.98,-36.84,744895.3,439895.3,144.23,0.6993348226024746,3
Canara Robeco Small Cap Fund,Small Cap,26.21,-3.58,18.16,1.04,-36.18,654770.23,349770.23,114.68,0.6699016167459092,4
Nippon India Growth Mid Cap Fund,Mid Cap,24.2,7.24,18.25,0.95,-35.32,730567.44,425567.44,139.53,0.6630787581428889,5
Invesco India Midcap Fund,Mid Cap,23.94,6.34,18.3,0.94,-34.09,724624.62,419624.62,137.58,0.6522088200405218,6
Quant Mid Cap Fund,Mid Cap,25.7,-2.46,19.51,0.96,-33.43,657375.65,352375.65,115.53,0.6359212838719522,7
DSP Small Cap Fund,Small Cap,24.13,0.65,18.03,0.96,-36.62,672812.92,367812.92,120.59,0.6270591557500396,8
Motilal Oswal Midcap Fund,Mid Cap,22.47,-18.55,19.48,0.83,-37.23,694574.61,389574.61,127.73,0.573465432880215,9
Axis Small Cap Fund,Small Cap,22.34,0.22,16.48,0.93,-34.64,639986.35,334986.35,109.83,0.5720014727418927,10
Motilal Oswal Nifty Midcap 150 Index Fund,Index Fund,22.43,5.34,18.88,0.85,-37.19,667488.83,362488.83,118.85,0.5621307638911965,11
HDFC Small Cap Fund,Small Cap,22.34,-4.77,18.24,0.87,-40.56,649938.2,344938.2,113.09,0.5565824747101346,12
Tata Small Cap Fund,Small Cap,22.74,-15.49,17.81,0.9,-36.61,614850.55,309850.55,101.59,0.5489505489903985,13
ICICI Prudential Smallcap Fund,Small Cap,21.93,-0.43,17.1,0.89,-39.93,626911.89,321911.89,105.54,0.5434413240869638,14
Parag Parikh Flexi Cap Fund,Large Cap,20.39,3.07,13.78,0.98,-31.2,587220.12,282220.12,92.53,0.5310431393468247,15
Sundaram Mid Cap Fund,Mid Cap,20.27,3.91,18.08,0.78,-39.49,669771.69,364771.69,119.6,0.5114089531510178,16
SBI Small Cap Fund,Small Cap,20.54,-6.75,15.66,0.88,-33.85,565731.67,260731.67,85.49,0.48160021830784533,17
Axis Midcap Fund,Mid Cap,19.57,3.96,16.15,0.81,-29.36,592498.9,287498.9,94.26,0.46191077351192494,18
HDFC Flexi Cap Fund,Large Cap,18.74,4.68,17.68,0.72,-40.23,637618.85,332618.85,109.06,0.448936133419663,19
UTI Mid Cap Fund,Mid Cap,19.75,-1.34,17.53,0.77,-35.17,570192.58,265192.58,86.95,0.43438699226510646,20
Nippon India Nifty Midcap 150 Index Fund,Index Fund,19.9,5.08,16.99,0.8,-21.44,418094.28,178094.28,74.21,0.4211480991053555,21
DSP Midcap Fund,Mid Cap,17.21,2.29,17.16,0.65,-32.72,558495.71,253495.71,83.11,0.35117316893077627,22
DSP Nifty 50 Equal Weight Index Fund,Index Fund,16.72,10.5,17.78,0.61,-38.66,562811.49,257811.49,84.53,0.3333438470975858,23
PGIM India Flexi Cap Fund,Large Cap,17.46,0.66,17.27,0.66,-36.45,507423.41,202423.41,66.37,0.323587338624734,24
Nippon India Large Cap Fund,Large Cap,16.06,1.97,18.11,0.57,-39.13,574345.24,269345.24,88.31,0.3182715556420075,25
Edelweiss Large Cap Fund,Large Cap,14.27,0.06,16.95,0.51,-35.15,503889.48,198889.48,65.21,0.226851881651071,26
Axis Nifty 100 Index Fund,Index Fund,12.42,1.03,17.69,0.4,-37.03,472793.73,167793.73,55.01,0.1427337811953141,27
Mirae Asset Large Cap Fund,Large Cap,12.39,1.1,17.5,0.4,-37.44,470847.27,165847.27,54.38,0.14107400314585683,28
UTI Nifty 50 Index Fund,Index Fund,11.94,0.76,18.1,0.37,-38.42,462780.62,157780.62,51.73,0.11907151151760496,29
Nippon India Index Fund Nifty 50 Plan,Index Fund,11.91,0.86,17.93,0.37,-38.17,462667.52,157667.52,51.69,0.11862182439588406,30
ICICI Prudential Nifty 50 Index Fund,Index Fund,11.91,0.7,17.98,0.37,-38.16,461924.38,156924.38,51.45,0.11812958401849977,31
SBI Nifty Index Fund,Index Fund,11.81,0.65,18.02,0.36,-38.39,461845.36,156845.36,51.42,0.11315835324893253,32
HDFC Mid-Cap Opportunities Fund,Mid Cap,6.98,8.09,1.59,0.34,-2.38,392526.36,87526.36,28.7,0.0,33
